Datetime,Open,High,Low,Close,Volume
2025-03-14 13:30:00+00:00,118.62000274658203,120.56500244140625,118.1500015258789,119.52490234375,80054675
2025-03-14 14:30:00+00:00,119.52899932861328,121.19000244140625,119.5000991821289,120.93000030517578,37708775
2025-03-14 15:30:00+00:00,120.93000030517578,121.87999725341797,120.5,120.51499938964844,33893954
2025-03-14 16:30:00+00:00,120.51010131835938,121.28500366210938,120.36000061035156,120.54499816894531,22384234
2025-03-14 17:30:00+00:00,120.54000091552734,120.8593978881836,120.11000061035156,120.2750015258789,19595435
2025-03-14 18:30:00+00:00,120.27999877929688,121.06849670410156,120.25,120.58499908447266,23734973
2025-03-14 19:30:00+00:00,120.58999633789062,121.80000305175781,120.58000183105469,121.44999694824219,29113451
2025-03-17 13:30:00+00:00,122.73750305175781,122.88999938964844,119.5,119.53500366210938,74495804
2025-03-17 14:30:00+00:00,119.54000091552734,120.2699966430664,118.87999725341797,119.29499816894531,34677303
2025-03-17 15:30:00+00:00,119.30500030517578,119.70999908447266,118.27999877929688,118.36509704589844,24933399
2025-03-17 16:30:00+00:00,118.37000274658203,119.25,118.02999877929688,119.17489624023438,24739657
2025-03-17 17:30:00+00:00,119.17500305175781,120.56999969482422,119.0,120.5,24394177
2025-03-17 18:30:00+00:00,120.48999786376953,121.08000183105469,120.2300033569336,120.3644027709961,25289938
2025-03-17 19:30:00+00:00,120.36000061035156,120.46499633789062,119.41999816894531,119.4800033569336,21588433
2025-03-18 13:30:00+00:00,118.24500274658203,118.5199966430664,114.54000091552734,115.83999633789062,72291232
2025-03-18 14:30:00+00:00,115.83000183105469,116.95999908447266,115.4800033569336,116.75499725341797,33542033
2025-03-18 15:30:00+00:00,116.75499725341797,117.68000030517578,116.1801986694336,117.63999938964844,26841463
2025-03-18 16:30:00+00:00,117.63999938964844,119.0199966430664,116.94000244140625,117.15499877929688,37041485
2025-03-18 17:30:00+00:00,117.16999816894531,117.6500015258789,115.7406997680664,116.63870239257812,38658434
2025-03-18 18:30:00+00:00,116.63999938964844,117.58000183105469,115.97000122070312,116.13500213623047,32486323
