Date,Open,High,Low,Close,Volume
2019-01-02,36.78413837044897,37.7245827857424,36.62739703060972,37.503719329833984,148158800
2019-01-03,34.19318320289865,34.606409542440964,33.72296262600118,33.76808547973633,365248800
2019-01-04,34.32378608802359,35.27847900912154,34.15042265199752,35.2096061706543,234428400
2019-01-07,35.31410959435231,35.34498388334802,34.64914915949289,35.13124465942383,219111200
2019-01-08,35.51834447775036,36.05506423362693,35.271361057087084,35.80095291137695,164101200
2019-01-09,35.929190786032024,36.6986453479839,35.534967488442895,36.408912658691406,180396400
2019-01-10,36.21655182724987,36.56565592820539,35.82707561156554,36.52528381347656,143122800
2019-01-11,36.306798636311406,36.50153493832651,35.98144090958733,36.16667938232422,108092800
2019-01-14,35.824705095839064,35.924448615457706,35.43760239866407,35.622840881347656,129756800
2019-01-15,35.68697568298626,36.42792987685335,35.634728541239824,36.35193634033203,114843600
2019-01-16,36.35429336518652,37.01925372022599,36.33529408375769,36.796016693115234,122278800
2019-01-17,36.62028408574662,37.44198597490383,36.397047009696955,37.01451110839844,119284800
2019-01-18,37.403992634389624,37.49423834764518,37.04301340511108,37.24250411987305,135004000
2019-01-22,37.145127995415336,37.2211215121317,36.2450554347819,36.40654754638672,121576000
2019-01-23,36.60840791094517,36.84351998595546,36.02656885020508,36.55378723144531,92522400
2019-01-24,36.5988935379738,36.68676202055043,36.03605401661936,36.2640380859375,101766000
2019-01-25,36.924261855530716,37.553600900151864,36.64878130027886,37.465728759765625,134142000
2019-01-28,36.997871903214524,37.126116128342424,36.49203015046435,37.11899185180664,104768400
2019-01-29,37.107122292669665,37.55359634769264,36.598903290698956,36.73426818847656,166348800
2019-01-30,38.7695241919444,39.45823098230422,38.05231666544547,39.2444953918457,244439200
2019-01-31,39.448740356323015,40.13507372055917,39.08063688443312,39.5271110534668,162958400
2019-02-01,39.65060250317511,40.13032086817942,39.405988969666886,39.54610824584961,130672400
2019-02-04,39.75745937470211,40.7667730276874,39.72658509160154,40.669403076171875,125982000
2019-02-05,41.051762882070676,41.578981228642604,40.93064652495009,41.36524200439453,144406400
2019-02-06,41.47684858776138,41.69533847596294,41.04937750984635,41.37948226928711,112958400
2019-02-07,40.94251782527925,41.30824769496477,40.45329804715444,40.59579086303711,126966800
2019-02-08,40.3048068425163,40.70310822980999,40.16885776650786,40.64348220825195,95280000
2019-02-11,40.79613489799055,40.83429643477586,40.36682670736698,40.40975570678711,83973600
2019-02-12,40.56955604622166,40.78420831850001,40.47415220576565,40.757972717285156,89134000
2019-02-13,40.877218430046,41.137187031192965,40.52661710438461,40.588626861572266,89960800
2019-02-14,40.476531198600185,40.84620963108841,40.39782441124615,40.73649978637695,87342800
2019-02-15,40.84382905782214,40.95115518004431,40.486072890892316,40.645870208740234,98507200
2019-02-19,40.47654155555973,40.8891527227653,40.424070350564264,40.767513275146484,75891200
2019-02-20,40.829511280556524,41.337526101224576,40.78181119563406,41.02985382080078,104457600
2019-02-21,40.97502117727503,41.11096667516204,40.61726488697162,40.798526763916016,68998800
2019-02-22,40.922530681262195,41.261206039788064,40.874830592887925,41.254051208496094,75652800
2019-02-25,41.537879662607395,41.945719682081254,41.48779219461515,41.55457305908203,87493600
2019-02-26,41.43054735944564,41.80976799171946,41.30175311196315,41.57841873168945,68280800
2019-02-27,41.311300281596466,41.73822105568102,41.196815683559215,41.70721435546875,111341600
2019-02-28,41.57602711901077,41.716743632971415,41.24211927045124,41.296974182128906,112861600
2019-03-01,41.56649542685582,41.77399283512558,41.234974864095655,41.73106384277344,103544800
2019-03-04,41.90279457840128,42.394112543739396,41.4925671504077,41.940956115722656,109744800
2019-03-05,41.962415400636054,41.97672506553204,41.62850744949889,41.864627838134766,78949600
2019-03-06,41.65950385921384,41.85507893590694,41.485396913845875,41.62372970581055,83241600
2019-03-07,41.468717309443846,41.60466642807359,41.0274867951546,41.1419677734375,99185600
2019-03-08,40.62203260153776,41.277919079052865,40.4264574322947,41.2397575378418,95997600
2019-03-11,41.855088288867776,42.7208557482408,41.821697858468866,42.66838455200195,128044000
2019-03-12,42.93074933970799,43.56755501819949,42.7804905524479,43.147789001464844,129870400
2019-03-13,43.46738700048797,43.71781711847124,43.15017600294716,43.33859634399414,124130000
2019-03-14,43.86090735580744,43.9086110924784,43.5413127001033,43.82036209106445,94318000
2019-03-15,44.08749085728255,44.67898009371108,43.82275112158004,44.39038848876953,156171600
2019-03-18,44.31406081869042,44.93178554071585,44.31167344863982,44.84354019165039,104879200
2019-03-19,44.92225754761337,45.07490005613711,44.34269057791804,44.48817825317383,126585600
2019-03-20,44.416623003991106,45.19414879506152,44.05886680985221,44.87693786621094,124140800
2019-03-21,45.320552133949356,46.82551249017216,45.27046466941773,46.52976608276367,204136800
